Index,X1,Y1,X2,Y2,Length,Angle Degrees
1,167,231,167,363,132.0,90.0
2,88,318,192,248,125.36347155371855,146.05641298024818
3,118,418,189,317,123.45849504995596,125.10607933026458
4,151,291,243,224,113.81124724736128,143.93561384258174
5,119,420,187,330,112.8007092176286,127.0730733173104
6,131,238,131,349,111.0,90.0
7,152,294,240,227,110.60289327137876,142.71567356354848
8,157,298,233,222,107.48023074035522,135.0
9,115,316,168,224,106.17438485811914,119.94568344039517
10,165,497,168,394,103.04368005850722,91.6683374482933
11,152,265,208,180,101.78899744078434,123.37783203643042
12,96,409,161,332,100.7670581092849,130.16958004171005
13,72,366,114,276,99.31767214348109,115.01689347810002
14,204,244,274,174,98.99494936611666,135.0
15,109,405,169,328,97.6165969494942,127.92646232503861
16,23,414,30,511,97.25224933131366,85.87240829748828
17,28,223,28,320,97.0,90.0
18,145,391,202,315,95.0,126.86989764584402
19,122,511,187,446,91.92388155425118,135.0
20,112,376,168,304,91.21403400793103,127.8749836510982
21,114,359,177,296,89.09545442950498,135.0
22,69,430,75,342,88.20430828479978,93.90049374238188
23,358,426,382,510,87.36131867136622,74.05460409907715
24,127,324,163,402,85.90692637965812,65.22485943116808
25,134,510,186,443,84.81155581640984,127.81573260757314
26,128,298,169,224,84.59905436823747,118.98882252119154
27,368,459,376,375,84.38009243891595,95.44033203100551
28,215,215,288,173,84.21995013059554,150.08635400846512
29,62,361,128,311,82.80096617793781,142.85331330197823
30,207,247,253,179,82.09750300709517,124.07719528013074
