Index,X,Y,Response
1,157.0,377.0,25502720.0
2,181.0,433.0,18012394.0
3,70.0,415.0,15070441.0
4,177.0,455.0,12507068.0
5,175.0,312.0,7198450.0
6,167.0,468.0,6854998.0
7,113.0,269.0,6265722.0
8,270.0,197.0,5899171.5
9,159.0,318.0,5883732.0
10,72.0,405.0,5872744.0
11,171.0,437.0,5712217.5
12,67.0,425.0,4674091.5
13,202.0,315.0,4513022.5
14,136.0,254.0,4450481.0
15,147.0,248.0,4342717.0
16,170.0,286.0,3897625.5
17,272.0,264.0,3845309.0
18,79.0,385.0,3759178.5
19,174.0,420.0,3723110.0
20,287.0,173.0,3600299.5
21,149.0,327.0,3437159.0
22,193.0,446.0,3328387.5
23,178.0,445.0,3227234.75
24,135.0,243.0,3226634.5
25,333.0,264.0,3214058.75
26,162.0,400.0,3031125.5
27,511.0,73.0,2824947.5
28,92.0,280.0,2660355.0
29,368.0,453.0,2660196.0
30,233.0,235.0,2656910.5
31,261.0,205.0,2588029.0
32,335.0,202.0,2550102.5
33,143.0,341.0,2516646.25
34,151.0,456.0,2336851.5
35,158.0,68.0,2322776.5
36,165.0,481.0,2137093.75
37,166.0,413.0,2087740.75
38,151.0,348.0,1990491.5
39,152.0,388.0,1950713.875
40,346.0,195.0,1709461.25
41,335.0,278.0,1651426.25
42,128.0,268.0,1618716.25
43,93.0,358.0,1586866.25
44,90.0,405.0,1501776.625
45,270.0,254.0,1487841.75
46,155.0,470.0,1469089.0
47,172.0,252.0,1436697.0
48,118.0,308.0,1422964.375
49,134.0,320.0,1359836.75
50,286.0,183.0,1353523.125
51,97.0,440.0,1352012.375
52,295.0,323.0,1282544.5
53,159.0,363.0,1262095.25
54,127.0,249.0,1254076.5
55,144.0,439.0,1237808.0
56,132.0,281.0,1205820.25
57,416.0,114.0,1203322.25
58,95.0,310.0,1185312.5
59,138.0,353.0,1183275.25
60,249.0,170.0,1176646.75
61,132.0,399.0,1160344.5
62,101.0,274.0,1157972.625
63,355.0,190.0,1129749.5
64,220.0,226.0,1122757.625
65,157.0,261.0,1120456.5
66,262.0,215.0,1116078.75
67,160.0,495.0,1106416.875
68,222.0,239.0,1059095.25
69,131.0,295.0,1040464.5625
70,169.0,321.0,1037360.125
71,179.0,330.0,1034059.125
72,126.0,413.0,1011634.875
73,134.0,468.0,987908.25
74,97.0,348.0,986919.0
75,176.0,298.0,955610.5
76,157.0,302.0,912128.6875
77,157.0,287.0,902629.75
78,163.0,276.0,879851.1875
79,511.0,5.0,878606.625
80,285.0,265.0,863154.5
81,141.0,390.0,847705.3125
82,209.0,250.0,838218.625
83,276.0,277.0,826005.75
84,135.0,366.0,817333.125
85,261.0,186.0,807666.125
86,91.0,369.0,802678.625
87,271.0,176.0,788131.375
88,206.0,196.0,778040.375
89,163.0,338.0,754580.25
90,185.0,271.0,741839.3125
91,167.0,504.0,734892.375
92,246.0,200.0,716530.9375
93,212.0,266.0,702839.75
94,194.0,326.0,702508.0
95,188.0,314.0,697965.625
96,113.0,226.0,683639.25
97,133.0,105.0,672153.0
98,370.0,210.0,668368.375
99,98.0,325.0,647387.8125
100,290.0,75.0,645430.75
